Italian          ,English,Part of Speech,IPA Pronunciation,Gender,Context,Synonyms,Example Sentence,Example Sentence English,Category,Deck Name,Deck GUID,Note GUID
davanti,in front of,preposition,/daˈvanti/,N/A,Indicates a position in front of something,di fronte,L'auto è parcheggiata davanti alla casa vicino all'albero grande.,The car is parked in front of the house near the big tree.,Common Words,Italian::A1::Vocab::Common Words,536995933597,1089221833492
davvero,really; truly,adverb,/davˈvero/,N/A,Used to emphasize something is true or genuine,veramente,Questo cibo è davvero buono e voglio mangiare di più.,This food is really good and I want to eat more.,Common Words,Italian::A1::Vocab::Common Words,536995933597,404989474663
dente,tooth,noun,/ˈdɛnte/,masculine,A hard white structure in the mouth used for biting,N/A,Mi lavo i denti nella bocca ogni mattina e ogni sera.,I brush the teeth in my mouth every morning and every evening.,Body,Italian::A1::Vocab::Body,315135916940,442204414480
dentro,inside,preposition,/ˈdentro/,N/A,Indicates a position in the interior of something,in,Il cane è dentro la casa e il gatto è fuori nel giardino.,The dog is inside the house and the cat is outside in the garden.,Common Words,Italian::A1::Vocab::Common Words,536995933597,732713853633
destra,right (direction),noun,/ˈdɛstra/,feminine,The direction opposite of left,N/A,La banca è a destra e il bar è a sinistra della strada.,The bank is on the right and the bar is on the left of the street.,Common Words,Italian::A1::Vocab::Common Words,536995933597,812933501471
dicembre,December,noun,/diˈtʃɛmbre/,masculine,The twelfth and last month of the year; winter,N/A,In dicembre fa molto freddo e festeggiamo il Natale in famiglia.,In December it is very cold and we celebrate Christmas with family.,Time,Italian::A1::Vocab::Time,781073502550,187849240456
diciannove,nineteen,numeral,/ditʃanˈnɔve/,N/A,The number nineteen,N/A,Ho diciannove anni e studio all'università nella mia città.,I am nineteen years old and I study at the university in my city.,Numbers,Italian::A1::Vocab::Numbers,381389947441,17843720352
diciassette,seventeen,numeral,/ditʃasˈsɛtte/,N/A,The number seventeen,N/A,Ci sono diciassette studenti nella classe di italiano oggi.,There are seventeen students in the Italian class today.,Numbers,Italian::A1::Vocab::Numbers,381389947441,1001754261395
diciotto,eighteen,numeral,/diˈtʃɔtto/,N/A,The number eighteen,N/A,A diciotto anni un adulto può guidare l'auto in Italia.,At eighteen years an adult can drive the car in Italy.,Numbers,Italian::A1::Vocab::Numbers,381389947441,829211668129
dieci,ten,numeral,/ˈdjɛtʃi/,N/A,The number ten,N/A,Ci sono dieci alberi nel giardino dietro la mia casa.,There are ten trees in the garden behind my house.,Numbers,Italian::A1::Vocab::Numbers,381389947441,1024289538489
dietro,behind,preposition,/ˈdjɛtro/,N/A,Indicates a position at the back of something,N/A,Il giardino è dietro la casa e ci sono molti fiori belli.,The garden is behind the house and there are many beautiful flowers.,Common Words,Italian::A1::Vocab::Common Words,536995933597,267077415332
difficile,difficult; hard,adjective,/difˈfitʃile/,N/A,Describes something not easy to do or understand,complicato; duro,L'esame è molto difficile ma lo studente studia bene ogni giorno.,The exam is very difficult but the student studies well every day.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,825502694643
diverso,different,adjective,/diˈvɛrso/,N/A,Describes something not the same as another,altro; differente,Ogni persona è diversa e ha una vita e una storia bella.,Every person is different and has a life and a beautiful story.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,116362914885
divertente,fun; funny,adjective,/diverˈtɛnte/,N/A,Describes something that is amusing or entertaining,comico; spiritoso,Il film è molto divertente e ridiamo tanto al cinema insieme.,The movie is very funny and we laugh a lot at the cinema together.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,490523290409
divertimento,fun; entertainment,noun,/divertiˈmento/,masculine,The state of enjoyment or amusement,svago; piacere,Il ballo è un grande divertimento per la famiglia e gli amici.,Dancing is great fun for the family and friends.,Entertainment,Italian::A1::Vocab::Entertainment,474240519096,896891801455
dizionario,dictionary,noun,/dittsjoˈnarjo/,masculine,A book listing words with definitions and translations,vocabolario,Uso il dizionario per imparare le parole nuove in italiano.,I use the dictionary to learn new words in Italian.,Education,Italian::A1::Vocab::Education,307004269861,787826739783
doccia,shower,noun,/ˈdɔttʃa/,feminine,A device for washing the body with water,N/A,Faccio la doccia nel bagno ogni mattina prima di uscire.,I take a shower in the bathroom every morning before going out.,Home,Italian::A1::Vocab::Home,692027528045,834124361027
dodici,twelve,numeral,/ˈdoditʃi/,N/A,The number twelve,N/A,Sono le dodici e devo pranzare nella cucina con la famiglia.,It is twelve o'clock and I must have lunch in the kitchen with my family.,Numbers,Italian::A1::Vocab::Numbers,381389947441,868096103804
dolce,sweet,adjective,/ˈdoltʃe/,N/A,Describes a sweet taste; opposite of 'amaro',N/A,La torta è molto dolce e buona e il bambino la mangia.,The cake is very sweet and good and the child eats it.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,250854519130
dollaro,dollar,noun,/ˈdɔllaro/,masculine,The currency used in the United States,N/A,Devo cambiare i dollari in euro prima di viaggiare in Italia.,I must change the dollars into euros before traveling to Italy.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,942654952192
domanda,question,noun,/doˈmanda/,feminine,Something asked to get information or an answer,quesito,Lo studente fa una domanda all'insegnante durante la lezione di italiano.,The student asks a question to the teacher during the Italian lesson.,Education,Italian::A1::Vocab::Education,307004269861,47045488547
domani,tomorrow,adverb,/doˈmani/,N/A,The day after today,N/A,Domani devo lavorare e poi vado al cinema con l'amico.,Tomorrow I must work and then I go to the cinema with my friend.,Time,Italian::A1::Vocab::Time,781073502550,435537331965
domenica,Sunday,noun,/doˈmenika/,feminine,The seventh and last day of the week,N/A,La domenica la famiglia pranza insieme a casa e non lavora.,On Sunday the family has lunch together at home and does not work.,Time,Italian::A1::Vocab::Time,781073502550,742498647074
donna,woman,noun,/ˈdɔnna/,feminine,An adult female person,signora; femmina,La donna cammina nella città e guarda i negozi con l'amica.,The woman walks in the city and looks at the shops with her friend.,People,Italian::A1::Vocab::People,1054905778847,613428390864
dopo,after; later,preposition,/ˈdopo/,N/A,Indicates a time following an event,poi; in seguito,Dopo la cena guardo un film con la famiglia in casa.,After dinner I watch a movie with the family at home.,Common Words,Italian::A1::Vocab::Common Words,536995933597,658115267236
dottore,doctor (m),noun,/dotˈtore/,masculine,A medical professional who treats sick people,medico,Il dottore lavora all'ospedale e aiuta le persone ogni giorno.,The doctor works at the hospital and helps people every day.,People,Italian::A1::Vocab::People,1054905778847,263477176506
dottoressa,doctor (f),noun,/dottoˈressa/,feminine,A female medical professional who treats sick people,N/A,La dottoressa chiede come stai e controlla il tuo corpo.,The doctor asks how you are and checks your body.,People,Italian::A1::Vocab::People,1054905778847,262360488356
dove,where,adverb,/ˈdove/,N/A,Used to ask about a place or location,N/A,Dove abiti? Abito in una casa grande nella città vecchia.,Where do you live? I live in a big house in the old city.,Common Words,Italian::A1::Vocab::Common Words,536995933597,250606407026
due,two,numeral,/ˈdue/,N/A,The number two,N/A,Ho due amici e andiamo insieme al bar per un caffè.,I have two friends and we go together to the bar for a coffee.,Numbers,Italian::A1::Vocab::Numbers,381389947441,363436994903
e-mail,e-mail,noun,/ˈiːmeil/,feminine,An electronic message sent via computer or phone,posta elettronica,Scrivo una e-mail al mio amico con il computer di casa.,I write an e-mail to my friend with the home computer.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,180064618739
economico,cheap; affordable,adjective,/ekoˈnɔmiko/,N/A,Describes something that does not cost much money,a buon mercato,Il cibo al bar è economico e buono e mangiamo lì spesso.,The food at the bar is cheap and good and we eat there often.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,288642120113
entrambi,both,pronoun,/enˈtrambi/,N/A,Refers to two things or people together,tutti e due; ambedue,Entrambi gli amici vengono al ballo con me stasera.,Both friends come to the dance with me tonight.,Common Words,Italian::A1::Vocab::Common Words,536995933597,645032933524
erba,grass,noun,/ˈɛrba/,feminine,Green plants covering the ground in gardens and parks,prato,Il cane corre sull'erba verde nel giardino dietro la casa.,The dog runs on the green grass in the garden behind the house.,Nature,Italian::A1::Vocab::Nature,674825577948,713565093354
esame,exam; test,noun,/eˈzame/,masculine,A formal test of knowledge at school or university,test; prova,L'esame è difficile ma lo studente studia bene ogni giorno.,The exam is difficult but the student studies well every day.,Education,Italian::A1::Vocab::Education,307004269861,252080048778
esempio,example,noun,/eˈzɛmpjo/,masculine,A case used to illustrate a point or rule,N/A,L'insegnante fa un esempio per aiutare la classe a capire.,The teacher gives an example to help the class understand.,Education,Italian::A1::Vocab::Education,307004269861,1090909827884
estate,summer,noun,/esˈtate/,feminine,The warmest season of the year between spring and autumn,N/A,In estate fa caldo e andiamo al mare con la famiglia.,In summer it is hot and we go to the sea with the family.,Time,Italian::A1::Vocab::Time,781073502550,1074459430422
età,age,noun,/eˈta/,feminine,The number of years a person has lived,N/A,Quale è la tua età? Ho diciannove anni e sono giovane.,What is your age? I am nineteen years old and I am young.,People,Italian::A1::Vocab::People,1054905778847,248300257007
fabbrica,factory,noun,/ˈfabbrika/,feminine,A building where goods are manufactured,stabilimento,Mio padre lavora in una fabbrica grande fuori dalla città.,My father works in a big factory outside the city.,Places,Italian::A1::Vocab::Places,439811229925,251432464285
faccia,face,noun,/ˈfattʃa/,feminine,"The front part of the head with eyes, nose, and mouth",viso; volto,La bambina ha una faccia bella con gli occhi azzurri grandi.,The girl has a beautiful face with big blue eyes.,Body,Italian::A1::Vocab::Body,315135916940,791636528736
facile,easy,adjective,/ˈfatʃile/,N/A,Describes something not difficult to do or understand,semplice,La domanda è facile e lo studente risponde bene e presto.,The question is easy and the student answers well and quickly.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,1079814045085
fame,hunger,noun,/ˈfame/,feminine,The feeling of needing food; used in 'ho fame',appetito,Ho molta fame e voglio mangiare la pasta per la cena.,I am very hungry and I want to eat pasta for dinner.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,837508140254
famiglia,family,noun,/faˈmiʎʎa/,feminine,A group of related people; parents and children,N/A,La mia famiglia mangia insieme a casa ogni sera dopo il lavoro.,My family eats together at home every evening after work.,People,Italian::A1::Vocab::People,1054905778847,425538840030
famoso,famous,adjective,/faˈmoso/,N/A,Describes someone or something widely known,celebre; noto,Questo ristorante è famoso per la pizza e la pasta buona.,This restaurant is famous for the pizza and the good pasta.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,528845015820
fantastico,fantastic; great,adjective,/fanˈtastiko/,N/A,Describes something extremely good or wonderful,meraviglioso; magnifico,Il viaggio in Italia è fantastico e voglio visitare ogni città.,The trip to Italy is fantastic and I want to visit every city.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,222713154781
farmacia,pharmacy,noun,/farmaˈtʃia/,feminine,A shop where medicines are sold,N/A,Devo andare alla farmacia vicino all'ospedale per comprare la medicina.,I need to go to the pharmacy near the hospital to buy medicine.,Places,Italian::A1::Vocab::Places,439811229925,768462941822
fattoria,farm,noun,/fattoˈria/,feminine,A place where crops and animals are raised,N/A,Nella fattoria ci sono molti animali come cavalli e mucche.,On the farm there are many animals like horses and cows.,Places,Italian::A1::Vocab::Places,439811229925,321690325227
febbraio,February,noun,/febˈbrajo/,masculine,The second month of the year; a winter month,N/A,In febbraio fa molto freddo e a volte vediamo la neve.,In February it is very cold and sometimes we see snow.,Time,Italian::A1::Vocab::Time,781073502550,365594035310
felice,happy,adjective,/feˈlitʃe/,N/A,Describes a state of joy or contentment,contento; allegro,Sono molto felice perché domani è il mio compleanno e c'è festa.,I am very happy because tomorrow is my birthday and there is a party.,Emotions,Italian::A1::Vocab::Emotions,594297900417,221632140597
festa,party; celebration,noun,/ˈfɛsta/,feminine,A social gathering for fun or a special occasion,celebrazione,Facciamo una festa grande per il compleanno con la famiglia e amici.,We have a big party for the birthday with family and friends.,Entertainment,Italian::A1::Vocab::Entertainment,474240519096,1001740801729
figlia,daughter,noun,/ˈfiʎʎa/,feminine,A female child in relation to her parents,N/A,La figlia della donna studia bene e legge molti libri.,The woman's daughter studies well and reads many books.,People,Italian::A1::Vocab::People,1054905778847,77247781348
figlio,son,noun,/ˈfiʎʎo/,masculine,A male child in relation to his parents,N/A,Il figlio gioca a calcio nel parco con gli amici ogni giorno.,The son plays soccer in the park with friends every day.,People,Italian::A1::Vocab::People,1054905778847,717588715416
film,movie; film,noun,/ˈfilm/,masculine,A motion picture shown at the cinema or on television,pellicola,Guardiamo un film divertente al cinema con gli amici stasera.,We watch a funny movie at the cinema with friends tonight.,Entertainment,Italian::A1::Vocab::Entertainment,474240519096,917401059955
fine,end,noun,/ˈfine/,feminine,The last part or conclusion of something,conclusione,Alla fine del film tutti sono felici e vanno a casa.,At the end of the movie everyone is happy and goes home.,Common Words,Italian::A1::Vocab::Common Words,536995933597,988794314379
finestra,window,noun,/fiˈnɛstra/,feminine,An opening in a wall that lets in light and air,N/A,Apro la finestra della camera perché dentro fa molto caldo.,I open the bedroom window because inside it is very hot.,Home,Italian::A1::Vocab::Home,692027528045,930368528149
fiore,flower,noun,/ˈfjore/,masculine,A colorful plant that grows in gardens and fields,N/A,Nel giardino ci sono molti fiori rossi e gialli molto belli.,In the garden there are many very beautiful red and yellow flowers.,Nature,Italian::A1::Vocab::Nature,674825577948,274552345805
fiume,river,noun,/ˈfjume/,masculine,A large natural stream of water flowing through land,N/A,Il fiume è lungo e passa vicino alla città e alla fattoria.,The river is long and passes near the city and the farm.,Nature,Italian::A1::Vocab::Nature,674825577948,203378743048
formaggio,cheese,noun,/forˈmaddʒo/,masculine,A dairy food made from milk; popular in Italian cuisine,N/A,Metto il formaggio sulla pasta perché è molto buono e dolce.,I put cheese on the pasta because it is very good and sweet.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,336941641567
foto/fotografia,photo; photograph,noun,/ˈfɔto/ /fotoɡraˈfia/,feminine,An image captured with a camera,immagine,Faccio una foto bella del fiore nel giardino con il cellulare.,I take a beautiful photo of the flower in the garden with the cell phone.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,715948285567
frase,sentence; phrase,noun,/ˈfraze/,feminine,A group of words expressing a complete thought,N/A,Lo studente scrive una frase in italiano sul quaderno per la classe.,The student writes a sentence in Italian in the notebook for class.,Education,Italian::A1::Vocab::Education,307004269861,270623453327
fratello,brother,noun,/fraˈtɛllo/,masculine,A male sibling,N/A,Mio fratello e io giochiamo a calcio insieme nel parco ogni sabato.,My brother and I play soccer together in the park every Saturday.,People,Italian::A1::Vocab::People,1054905778847,282771934865
freddo,cold,adjective,/ˈfreddo/,N/A,Describes low temperature; opposite of 'caldo',gelido,In inverno fa molto freddo e indosso la giacca per uscire.,In winter it is very cold and I wear the jacket to go out.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,1006675194598
frutta,fruit,noun,/ˈfrutta/,feminine,"Edible plant products like apples, oranges, and bananas",N/A,"Compro la frutta al supermercato: banane, arance e mele fresche.","I buy fruit at the supermarket: bananas, oranges, and fresh apples.",Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,173049329711
fuori,outside,preposition,/ˈfwɔri/,N/A,Indicates a position on the exterior of something,all'esterno,Il cane è fuori nel giardino e gioca sull'erba verde.,The dog is outside in the garden and plays on the green grass.,Common Words,Italian::A1::Vocab::Common Words,536995933597,201134563659
gamba,leg,noun,/ˈɡamba/,feminine,The lower limb of the human body used for walking,N/A,Mi fa male la gamba e non posso correre o camminare bene.,My leg hurts and I cannot run or walk well.,Body,Italian::A1::Vocab::Body,315135916940,754471507449
gatto,cat,noun,/ˈɡatto/,masculine,A small domestic animal; a common household pet,micio,Il gatto bianco dorme sulla sedia dentro la casa ogni giorno.,The white cat sleeps on the chair inside the house every day.,Animals,Italian::A1::Vocab::Animals,209387501967,517059146579
gelato,ice cream,noun,/dʒeˈlato/,masculine,A frozen Italian dessert made with milk and sugar,N/A,In estate mangio il gelato al cioccolato vicino al mare.,In summer I eat chocolate ice cream near the sea.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,238208923440
genitori,parents,noun,/dʒeniˈtori/,masculine plural,A person's mother and father,N/A,I miei genitori abitano in una casa grande nella città vecchia.,My parents live in a big house in the old city.,People,Italian::A1::Vocab::People,1054905778847,796343118880
gennaio,January,noun,/dʒenˈnajo/,masculine,The first month of the year; a winter month,N/A,Gennaio è il primo mese dell'anno e fa molto freddo fuori.,January is the first month of the year and it is very cold outside.,Time,Italian::A1::Vocab::Time,781073502550,439209976850
gente,people,noun,/ˈdʒɛnte/,feminine,People in general; a group of persons,persone,Molta gente cammina nella città e guarda i negozi il sabato.,Many people walk in the city and look at the shops on Saturday.,People,Italian::A1::Vocab::People,1054905778847,685120722171
gentile,kind; polite,adjective,/dʒenˈtile/,N/A,Describes someone who is nice and courteous,cortese; educato,La cameriera è molto gentile e ci aiuta a scegliere il cibo.,The waitress is very kind and helps us choose the food.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,420685081517
giacca,jacket,noun,/ˈdʒakka/,feminine,An outer garment covering the upper body,giubbotto,Indosso la giacca perché fuori fa freddo e piove molto oggi.,I wear the jacket because outside it is cold and it rains a lot today.,Clothing,Italian::A1::Vocab::Clothing,1019559507739,411374980888
giallo,yellow,adjective,/ˈdʒallo/,N/A,The color of the sun and bananas,N/A,La banana è gialla e il fiore nel giardino è anche giallo.,The banana is yellow and the flower in the garden is also yellow.,Colors,Italian::A1::Vocab::Colors,673869190564,51926599800
giardino,garden,noun,/dʒarˈdino/,masculine,An area of land for growing plants and flowers,N/A,Il giardino dietro la casa ha molti fiori e alberi belli.,The garden behind the house has many flowers and beautiful trees.,Home,Italian::A1::Vocab::Home,692027528045,335419168342
gioco,game,noun,/ˈdʒɔko/,masculine,An activity done for fun or competition,N/A,Il gioco è divertente e i bambini giocano nel parco insieme.,The game is fun and the children play in the park together.,Entertainment,Italian::A1::Vocab::Entertainment,474240519096,289206096224
giornale,newspaper,noun,/dʒorˈnale/,masculine,A daily publication with news and articles,quotidiano,Mio padre legge il giornale ogni mattina con il caffè al bar.,My father reads the newspaper every morning with coffee at the bar.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,874024915373
giornata,day (duration),noun,/dʒorˈnata/,feminine,The period of a full day; emphasizes how it was spent,N/A,È stata una giornata bella e abbiamo camminato molto nella città.,It was a beautiful day and we walked a lot in the city.,Time,Italian::A1::Vocab::Time,781073502550,249305701076
giorno,day,noun,/ˈdʒorno/,masculine,A 24-hour period; also means daytime,N/A,Ogni giorno vado a lavorare e poi torno a casa la sera.,Every day I go to work and then return home in the evening.,Time,Italian::A1::Vocab::Time,781073502550,547450713269
giovane,young,adjective,/ˈdʒovane/,N/A,Describes someone who is not old; in early life,N/A,La donna è giovane e studia all'università nella grande città.,The woman is young and studies at the university in the big city.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,1098796515640
giovedì,Thursday,noun,/dʒoveˈdi/,masculine,The fourth day of the week,N/A,Giovedì vado al corso di italiano con il mio amico.,On Thursday I go to the Italian course with my friend.,Time,Italian::A1::Vocab::Time,781073502550,665716532866
giugno,June,noun,/ˈdʒuɲɲo/,masculine,The sixth month of the year; the start of summer,N/A,In giugno comincia l'estate e fa caldo e andiamo al mare.,In June summer begins and it is hot and we go to the sea.,Time,Italian::A1::Vocab::Time,781073502550,290005518720
giù,down,adverb,/ˈdʒu/,N/A,Indicates a direction or position that is lower,in basso,Il gatto salta giù dalla sedia e corre fuori nel giardino.,The cat jumps down from the chair and runs outside to the garden.,Common Words,Italian::A1::Vocab::Common Words,536995933597,13004767899
giusto,right; fair,adjective,/ˈdʒusto/,N/A,Describes something correct or morally right,corretto; equo,La risposta è giusta e l'insegnante è contento dello studente bravo.,The answer is right and the teacher is happy with the good student.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,614990406720
gonna,skirt,noun,/ˈɡɔnna/,feminine,A piece of clothing worn around the waist by women,N/A,La donna indossa una gonna rossa e una camicia bianca per la festa.,The woman wears a red skirt and a white shirt for the party.,Clothing,Italian::A1::Vocab::Clothing,1019559507739,1034068868630
grande,big; large,adjective,/ˈɡrande/,N/A,Describes something of large size; opposite of 'piccolo',grosso; ampio,La casa è molto grande e ha un bel giardino con alberi.,The house is very big and has a beautiful garden with trees.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,459626621894
grasso,fat,adjective,/ˈɡrasso/,N/A,Describes a person or animal with excess body weight,N/A,Il gatto è un po' grasso perché mangia troppo cibo ogni giorno.,The cat is a bit fat because it eats too much food every day.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,1083220740650
grazie,thank you,interjection,/ˈɡrattsje/,N/A,An expression of gratitude,N/A,Grazie signora per l'aiuto! Lei è davvero molto gentile.,Thank you ma'am for the help! You are really very kind.,Greetings,Italian::A1::Vocab::Greetings,1034816950214,1048632065011
grigio,gray,adjective,/ˈɡridʒo/,N/A,The color between black and white,N/A,Il cielo è grigio oggi e penso che piove nel pomeriggio.,The sky is gray today and I think it rains in the afternoon.,Colors,Italian::A1::Vocab::Colors,673869190564,170125845039
gruppo,group,noun,/ˈɡruppo/,masculine,A number of people or things together,N/A,Un gruppo di amici va al cinema insieme ogni venerdì sera.,A group of friends goes to the cinema together every Friday evening.,People,Italian::A1::Vocab::People,1054905778847,734819638191
hobby,hobby,noun,/ˈɔbbi/,masculine,An activity done for fun in one's free time,passatempo,Il mio hobby è suonare la chitarra e cantare le canzoni.,My hobby is to play the guitar and sing songs.,Entertainment,Italian::A1::Vocab::Entertainment,474240519096,546742052607
hotel,hotel,noun,/oˈtɛl/,masculine,A place offering paid lodging for travelers,albergo,L'hotel è vicino alla stazione e ha camere grandi e belle.,The hotel is near the station and has big and beautiful rooms.,Places,Italian::A1::Vocab::Places,439811229925,89119158426
ieri,yesterday,adverb,/ˈjɛri/,N/A,The day before today,N/A,Ieri sono andato al ristorante e ho mangiato la pasta buona.,Yesterday I went to the restaurant and ate the good pasta.,Time,Italian::A1::Vocab::Time,781073502550,135165003322
immagine,image; picture,noun,/imˈmadʒine/,feminine,A visual representation of something,foto; figura,Guardo l'immagine bella del mare e della spiaggia nel libro.,I look at the beautiful image of the sea and the beach in the book.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,917963938345
importante,important,adjective,/imporˈtante/,N/A,Describes something of great value or significance,fondamentale; essenziale,Studiare l'italiano è importante per capire la gente in Italia.,Studying Italian is important to understand the people in Italy.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,1023992842969
impossibile,impossible,adjective,/imposˈsibile/,N/A,Describes something that cannot be done,N/A,È impossibile correre con la gamba che mi fa molto male.,It is impossible to run with the leg that hurts me a lot.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,724788161086
indietro,back; backward,adverb,/inˈdjɛtro/,N/A,Indicates movement toward the rear,N/A,Il cane corre avanti e poi torna indietro nel giardino di casa.,The dog runs forward and then comes back in the house garden.,Common Words,Italian::A1::Vocab::Common Words,536995933597,1086838142580
indirizzo,address,noun,/indiˈrittso/,masculine,The location of a building; also an e-mail address,N/A,Scrivo l'indirizzo dell'albergo sulla carta per non dimenticare dove andare.,I write the hotel address on paper so I don't forget where to go.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,9169881876
insegnante,teacher,noun,/inseɲˈɲante/,masculine/feminine,A person who teaches students at school or university,professore; maestro,L'insegnante è gentile e aiuta gli studenti a capire la lezione.,The teacher is kind and helps the students understand the lesson.,People,Italian::A1::Vocab::People,1054905778847,781188093408
insieme,together,adverb,/inˈsjɛme/,N/A,Indicates being with others at the same time,N/A,La famiglia mangia insieme a casa ogni sera dopo il lavoro.,The family eats together at home every evening after work.,Common Words,Italian::A1::Vocab::Common Words,536995933597,888997960885
intelligente,intelligent; smart,adjective,/intelliˈdʒɛnte/,N/A,Describes someone with a high mental ability,sveglio; brillante,Lo studente è molto intelligente e capisce le lezioni facili e difficili.,The student is very intelligent and understands the easy and difficult lessons.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,503328557184
interessante,interesting,adjective,/interesˈsante/,N/A,Describes something that holds attention or curiosity,avvincente,Il libro è molto interessante e voglio leggere ogni pagina stasera.,The book is very interesting and I want to read every page tonight.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,823678871509
inverno,winter,noun,/inˈvɛrno/,masculine,The coldest season of the year,N/A,In inverno fa molto freddo e a volte vediamo la neve.,In winter it is very cold and sometimes we see snow.,Time,Italian::A1::Vocab::Time,781073502550,149859229961
italiano,Italian,adjective,/itaˈljano/,N/A,"Relating to Italy, its language, or its people",N/A,Studio la lingua italiana e parlo con la gente in Italia.,I study the Italian language and speak with people in Italy.,Education,Italian::A1::Vocab::Education,307004269861,218687092031
jeans,jeans,noun,/dʒins/,masculine plural,Casual trousers made of denim fabric,N/A,Indosso i jeans blu e una maglietta bianca per uscire oggi.,I wear blue jeans and a white t-shirt to go out today.,Clothing,Italian::A1::Vocab::Clothing,1019559507739,27018594336
lì,there,adverb,/ˈli/,N/A,Indicates a place away from the speaker,là,Il bar è lì vicino alla banca e possiamo camminare insieme.,The bar is there near the bank and we can walk together.,Common Words,Italian::A1::Vocab::Common Words,536995933597,650629006348
largo,wide; broad,adjective,/ˈlarɡo/,N/A,Describes something that is wide; opposite of 'stretto',ampio,La strada è molto larga e le auto guidano piano e bene.,The street is very wide and the cars drive slowly and well.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,656653074718
latte,milk,noun,/ˈlatte/,masculine,A white liquid from cows; used in coffee and cooking,N/A,Bevo un bicchiere di latte caldo ogni mattina per colazione.,I drink a glass of hot milk every morning for breakfast.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,859499511972
lavagna,blackboard; whiteboard,noun,/laˈvaɲɲa/,feminine,A board in a classroom for writing with chalk or markers,N/A,L'insegnante scrive la frase sulla lavagna e la classe legge insieme.,The teacher writes the sentence on the board and the class reads together.,Education,Italian::A1::Vocab::Education,307004269861,378928924393
lavoro,work; job,noun,/laˈvoro/,masculine,An occupation or activity done for income,impiego; mestiere,Il mio lavoro è in un ufficio grande nella città ogni giorno.,My job is in a big office in the city every day.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,1081977901945
lento,slow,adjective,/ˈlɛnto/,N/A,Describes something that moves or happens without speed,N/A,L'autobus è molto lento oggi e arrivo tardi al lavoro in città.,The bus is very slow today and I arrive late to work in the city.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,807990385071
lettera,letter,noun,/ˈlɛttera/,feminine,A written message sent to someone; also a character of the alphabet,N/A,Scrivo una lettera al mio amico e la mando domani per posta.,I write a letter to my friend and send it tomorrow by mail.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,84352394250
letto,bed,noun,/ˈlɛtto/,masculine,A piece of furniture for sleeping,N/A,Vado a letto ogni sera e mi sveglio la mattina presto.,I go to bed every evening and wake up in the morning early.,Home,Italian::A1::Vocab::Home,692027528045,951821244950
lettura,reading,noun,/letˈtura/,feminine,The activity of reading text; a reading passage,N/A,La lettura del libro è interessante e imparo molte parole nuove.,The reading of the book is interesting and I learn many new words.,Education,Italian::A1::Vocab::Education,307004269861,768651454620
lezione,lesson,noun,/letˈtsjone/,feminine,A period of teaching or instruction,classe,La lezione di italiano è facile e l'insegnante spiega bene ogni cosa.,The Italian lesson is easy and the teacher explains everything well.,Education,Italian::A1::Vocab::Education,307004269861,524126545559
libro,book,noun,/ˈlibro/,masculine,A written work with pages; used for reading and studying,volume; testo,Leggo un libro interessante ogni sera prima di andare a letto.,I read an interesting book every evening before going to bed.,Education,Italian::A1::Vocab::Education,307004269861,633289401301
lingua,language; tongue,noun,/ˈliŋɡwa/,feminine,A system of communication; also the body part in the mouth,idioma,L'italiano è una lingua bella e voglio imparare a parlare bene.,Italian is a beautiful language and I want to learn to speak well.,Education,Italian::A1::Vocab::Education,307004269861,987053080685
